Site,SiteShort,Tooth.no,Sr.Sample,ToothTaxon,Taxon,Sr 
San Felice,SF,SF1,A,SF01_Ovis,Ovis,0.708642
San Felice,SF,SF1,B,SF01_Ovis,Ovis,0.708448
San Felice,SF,SF1,C,SF01_Ovis,Ovis,0.708387
San Felice,SF,SF3,A,SF03_Capra,Capra,0.708583
San Felice,SF,SF3,B,SF03_Capra,Capra,0.708548
San Felice,SF,SF3,C,SF03_Capra,Capra,0.708723
San Felice,SF,SF4,A,SF04_Ovis,Ovis,0.708508
San Felice,SF,SF4,B,SF04_Ovis,Ovis,0.708514
San Felice,SF,SF4,C,SF04_Ovis,Ovis,0.708522
San Felice,SF,SF5,A,SF05_Capra,Capra,0.708646
San Felice,SF,SF5,B,SF05_Capra,Capra,0.708574
San Felice,SF,SF5,C,SF05_Capra,Capra,0.708382
San Felice,SF,SF6,A,SF06_Ovis,Ovis,0.708443
San Felice,SF,SF6,B,SF06_Ovis,Ovis,0.708511
San Felice,SF,SF6,C,SF06_Ovis,Ovis,0.70847
San Felice,SF,SF7,A,SF07_Capra,Capra,0.70849
San Felice,SF,SF7,B,SF07_Capra,Capra,0.7085
San Felice,SF,SF7,C,SF07_Capra,Capra,0.708502
San Felice,SF,SF8,A,SF08_Ovis,Ovis,0.708741
San Felice,SF,SF8,B,SF08_Ovis,Ovis,0.708544
San Felice,SF,SF8,C,SF08_Ovis,Ovis,0.708472
Vagnari vicus,VV,VV9,A,VV09_Capra,Capra,0.708722
Vagnari vicus,VV,VV9,B,VV09_Capra,Capra,0.708674
Vagnari vicus,VV,VV9,C,VV09_Capra,Capra,0.708664
Vagnari vicus,VV,VV10,A,VV10_Capra,Capra,0.708581
Vagnari vicus,VV,VV10,B,VV10_Capra,Capra,0.70861
Vagnari vicus,VV,VV10,C,VV10_Capra,Capra,0.708625
Vagnari vicus,VV,VV11,A,VV11_Ovis,Ovis,0.708638
Vagnari vicus,VV,VV11,B,VV11_Ovis,Ovis,0.708759
Vagnari vicus,VV,VV11,C,VV11_Ovis,Ovis,0.708636
Vagnari vicus,VV,VV12,A,VV12_Ovis,Ovis,0.709068
Vagnari vicus,VV,VV12,B,VV12_Ovis,Ovis,0.709132
Vagnari vicus,VV,VV12,C,VV12_Ovis,Ovis,0.709604
Vagnari vicus,VV,VV13,A,VV13_Capra,Capra,0.708734
Vagnari vicus,VV,VV13,B,VV13_Capra,Capra,0.708734
Vagnari vicus,VV,VV13,C,VV13_Capra,Capra,0.708726
Vagnari vicus,VV,VV16,A,VV16_Ovis,Ovis,0.708662
Vagnari vicus,VV,VV16,B,VV16_Ovis,Ovis,0.70867
Vagnari vicus,VV,VV16,C,VV16_Ovis,Ovis,0.70867
Vagnari vicus,VV,VV18,A,VV18_Ovis,Ovis,0.708725
Vagnari vicus,VV,VV18,B,VV18_Ovis,Ovis,0.708697
Vagnari vicus,VV,VV18,C,VV18_Ovis,Ovis,0.708632
Vagnari vicus,VV,VV19,A,VV19_Ovis,Ovis,0.708639
Vagnari vicus,VV,VV19,B,VV19_Ovis,Ovis,0.708663
Vagnari vicus,VV,VV19,C,VV19_Ovis,Ovis,0.708661
