Sample,d13C,d15N,yield ,C.N 
F100 ,-19.3,9.7,,3.2
F117 ,-18.5,9.8,,3.1
F123 ,-18.3,12.5,,3.2
F126 ,-19.5,9.1,,3.2
F127 ,-18.4,9.8,,3.1
F130 ,-19.3,9.7,,3.2
F131 ,-18.6,9.9,,3.3
F132 ,-19.1,10.6,,3.1
F137 A ,-19.3,9,,3.1
F137 B ,-18.2,9.1,,3.1
F200 ,-19.4,9.1,6.8,3.2
F204 ,-19.3,9.1,2.3,3.2
F205 ,-19.7,8.2,11.6,3.2
F206 ,-19.4,9.3,3.2,3.2
F207 ,-19.4,9.1,11.1,3.2
F208 ,-19,9.5,11,3.2
F209 ,-19.1,8.6,10,3.2
F210 ,-19.1,9.9,10.6,3.2
F211 ,-19.4,9.3,7.4,3.2
F213 ,-19.5,10.3,6.8,3.2
F214 ,-19.7,8.5,8.3,3.2
F215 ,-19.9,9.6,8.8,3.2
F216 ,-20.2,9.5,8.1,3.3
F218 ,-19.4,9.5,4.9,3.2
F220 ,-19.7,9.7,8.4,3.2
F225 ,-18.1,13.1,7.8,3.2
F226 ,-19.1,10,9.9,3.2
F228 ,-18,13.2,4.2,3.2
F229 ,-18.8,9.8,13.3,3.2
F231 ,-19.2,9.1,9.4,3.2
F234 ,-18.6,9.6,5.1,3.2
F235 ,-19.6,9.1,11.1,3.2
F245 ,-19.1,9.7,8.3,3.2
F246 ,-19.4,8.2,4.8,3.2
F247 ,-19.3,9.8,7.2,3.2
F248 ,-19.6,8.5,4.7,3.2
F249 ,-19,9.7,11.1,3.2
F250 ,-18.9,10.9,8.9,3.2
F252 ,-19.6,7.6,12,3.2
F253 ,-19.2,10.3,7.7,3.2
F254 ,-19.3,10.1,10,3.2
F284 ,-19.3,10.3,16,3.2
F286A ,-19.6,8.1,2.7,3.2
F286B ,-19.5,7.7,3.7,3.2
F287 ,-19.2,9.5,6.4,3.2
F288A ,-19.6,10.1,9.3,3.2
F289 ,-19.5,8.6,7.3,3.2
F290 ,-19.1,9.4,10,3.2
F291 ,-19.5,9.1,7.2,3.2
F292 ,-18.6,11.7,10.2,3.2
F293 ,-19.3,9,10.5,3.2
F294 ,-19.5,8.9,8.6,3.2
F295 ,-18.1,12.8,5,3.2
F296 ,-19.4,8.2,6.8,3.2
F298 ,-19.2,9.7,5,3.2
F299 ,-19.8,8,7.4,3.2
F305 ,-18.1,13,1.1,3.1
F306 ,-19.1,10.4,7.6,3.2
F312 ,-19.5,8.3,7,3.2
F34 ,-18.9,9.1,,3.1
F35 ,-18.8,10.3,,3.2
F39 ,-17.1,12,,3
F40 ,-19.5,8.2,,3.2
F42 ,-18.8,8.7,,3.2
F42A ,-18.8,9.3,,3.1
F43 ,-18.2,10,,3.1
F48 ,-18.4,10.7,,3.2
F49 ,-18.3,8.5,,3.1
F55 ,-19.4,8.9,6.6,3.2
F59 ,-18.8,9.4,,3.1
F67 ,-19.3,9,,3.2
F68 ,-18.3,9.5,,3.1
F86 ,-19.7,6.9,,3.1
F89 ,-18.1,6.1,,3
F92 ,-19.2,9.1,,3.2
F93 ,-18.8,9.4,,3.1
F94 ,-18.5,9.7,,3
F96A ,-18.8,7.1,,3.1
F96B ,-17.7,9.5,,3.1
F98 ,-18.4,9.8,,3.1
